Company,Price,Change,Percentage,Volume
SNAP: Snap Inc,10.86,-0.36,-3.21%,4657038852
ABNB: Airbnb Inc,135.12,+2.96,+2.24%,352973752
SHOP: Shopify Inc,103.35,-0.15,-0.14%,524516152
TIXT: TELUS Digital (Cda) Inc,3.55,-0.09,-2.47%,63167552
AMZN: Amazon.com Inc,225.94,+5.28,+2.39%,3875430552
CNQ: Canadian Natural Resources Ltd,31.12,+0.32,+1.04%,576050652
NFLX: Netflix Inc,858.10,+15.73,+1.87%,324601552
PG: Procter & Gamble Co,161.13,+0.63,+0.39%,594490652
WMT: Walmart Inc,91.94,+0.64,+0.70%,1517069452
MNSO: MINISO Group Holding Ltd,23.55,+0.59,+2.57%,65903852
D: Dominion Energy Inc,55.28,+0.22,+0.40%,442387452
